  c =    0.100000000000000E+03
    70.00000000000000        0.360715640425343E-01     0.112504884482526E+01
                             0.725959579913200E-02     0.247651105599883E+00  10
    80.00000000000000        0.161098632332366E+01     0.186261725254368E+02
                             0.653479773734554E+00     0.113188985873365E+02  12
    90.00000000000000        0.000000000000000E+00    -0.419017903988810E+02
                             0.297415153675016E+01     0.000000000000000E+00  13
 l =      2
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    50.00000000000000        0.160642386999675E-07     0.979152494262058E-06
                             0.224388506329956E-08     0.140331386134993E-06   4
    60.00000000000000        0.184609665045553E-03     0.845372101836020E-02
                             0.353221328312972E-04     0.169069155841306E-02   8
    70.00000000000000        0.121142818114712E+00     0.339417529815099E+01
                             0.360715640425342E-01     0.112504884482525E+01  11
    80.00000000000000        0.233721601219925E+01     0.826060651158206E+01
                             0.161098632332366E+01     0.186261725254368E+02  12
    90.00000000000000       -0.209499946191392E+01     0.000000000000000E+00
                             0.000000000000000E+00    -0.419017903988810E+02  12
 l =      3
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    50.00000000000000        0.926255552756760E-07     0.549570472927998E-05
                             0.160642384655941E-07     0.979152489995250E-06   5
    60.00000000000000        0.770092169882486E-03     0.336060077442057E-01
                             0.184609665044729E-03     0.845372101836103E-02   9
    70.00000000000000        0.315541586724535E+00     0.773910618351407E+01
                             0.121142818114711E+00     0.339417529815099E+01  12
    80.00000000000000        0.199076270699130E+01    -0.224935435302936E+02
                             0.233721601219925E+01     0.826060651158206E+01  12
    90.00000000000000        0.000000000000000E+00     0.509897484790438E+02
                            -0.209499946191392E+01     0.000000000000000E+00  12
 l =      4
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.579432289613511E-11     0.411665584417364E-09
                             0.000000000000000E+00     0.000000000000000E+00   0
    50.00000000000000        0.456000900556893E-06     0.263009904304774E-04
                             0.926255553129834E-07     0.549570472798647E-05   5
    60.00000000000000        0.271545976593797E-02     0.112402067486949E+00
                             0.770092169882847E-03     0.336060077442061E-01   9
    70.00000000000000        0.670423243770933E+00     0.138115731786198E+02
                             0.315541586724535E+00     0.773910618351408E+01  12
    80.00000000000000        0.409290013293078E+00    -0.484995775741083E+02
                             0.199076270699130E+01    -0.224935435302936E+02  12
    90.00000000000000        0.180717654595036E+01     0.000000000000000E+00
                             0.000000000000000E+00     0.509897484790438E+02  12
 l =      5
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.327676699100956E-10     0.228288734003823E-08
                             0.579442676564063E-11     0.411666571014237E-09   1
    50.00000000000000        0.197850613444887E-05     0.110765635085273E-03
                             0.456000900555713E-06     0.263009904295321E-04   6
    60.00000000000000        0.834502725133385E-02     0.325805781308640E+00
                             0.271545976593795E-02     0.112402067486950E+00  10
    70.00000000000000        0.118569980130898E+01     0.190327966690152E+02
                             0.670423243770933E+00     0.138115731786198E+02  12
    80.00000000000000       -0.132928825947148E+01    -0.351598372625349E+02
