  c = i times   0.10000000000000E+03
 l =      0
     0.00000000000000        0.16430205347828E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.60758923635022E+02  13
    10.00000000000000        0.16838746598162E+01    -0.16954766502623E+02
                             0.30642425751448E+00    -0.56668551687737E+02  12
    20.00000000000000       -0.17490727369718E+01    -0.18402936181290E+02
                            -0.21147718641836E+01    -0.68185894762264E+01  12
    30.00000000000000       -0.22766355723280E-01    -0.83249894330966E+00
                            -0.55786939271373E-01    -0.18937653963217E+01  11
    40.00000000000000       -0.77169788766320E-05    -0.41864755961057E-03
                            -0.27423656593841E-04    -0.14389441599567E-02   7
    50.00000000000000       -0.16740900738758E-09    -0.11429566067314E-07
                            -0.78341955927556E-09    -0.52377407151858E-07   3
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      8
     0.00000000000000        0.15304653703156E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.60758923635022E+02  13
    10.00000000000000        0.13088684246871E+01     0.33729643790588E+02
                             0.30642425751448E+00    -0.56668551687737E+02  12
    20.00000000000000        0.19838623530365E+01    -0.16065516793273E+02
                            -0.21147718641836E+01    -0.68185894762264E+01  12
    30.00000000000000        0.12370542471146E+00     0.38534445435238E+01
                            -0.55786939271374E-01    -0.18937653963217E+01  11
    40.00000000000000        0.89646574517552E-04     0.45399131964983E-02
                            -0.27423656594072E-04    -0.14389441599596E-02   8
    50.00000000000000        0.33918405117611E-08     0.22189308461059E-06
                            -0.78341943248887E-09    -0.52377406504990E-07   3
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      9
     0.00000000000000        0.15304653703156E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.63998805621032E+02  12
    10.00000000000000        0.13088684246871E+01     0.33729643790588E+02
                             0.13290971780067E+01    -0.32363078748447E+02  12
    20.00000000000000        0.19838623530365E+01    -0.16065516793273E+02
                             0.11967316349537E+01    -0.41483771096447E+02  12
    30.00000000000000        0.12370542471146E+00     0.38534445435238E+01
                             0.24932595638083E+00     0.70155135721202E+01  12
    40.00000000000000        0.89646574517661E-04     0.45399131964739E-02
                             0.27148404036993E-03     0.13237434849531E-01   8
    50.00000000000000        0.33918416744363E-08     0.22189309606083E-06
                             0.13689132437335E-07     0.87553922923447E-06   4
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     10
     0.00000000000000        0.14456421140795E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.63998805621032E+02  12
    10.00000000000000        0.23745412573312E+00     0.61937895277851E+02
                             0.13290971780067E+01    -0.32363078748447E+02  12
    20.00000000000000        0.60788211048900E-01     0.52987551566787E+02
                             0.11967316349537E+01    -0.41483771096447E+02  11
    30.00000000000000       -0.45757243609510E+00    -0.11371791095825E+02
                             0.24932595638083E+00     0.70155135721202E+01  12
    40.00000000000000       -0.76571823431488E-03    -0.35848334900774E-01
                             0.27148404036941E-03     0.13237434849522E-01   9
    50.00000000000000       -0.51803331256399E-07    -0.32363123306506E-05
                             0.13689132446454E-07     0.87553922581175E-06   4
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     11
     0.00000000000000        0.14456421140795E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.66645583242070E+02  12
    10.00000000000000        0.23745412573312E+00     0.61937895277851E+02
                             0.14311213809648E+01     0.12491097285910E+02  12
    20.00000000000000        0.60788211048900E-01     0.52987551566787E+02
                             0.12236154617258E+01     0.36579350924093E+02  11
    30.00000000000000       -0.45757243609510E+00    -0.11371791095825E+02
                            -0.76413666399428E+00    -0.16206573019659E+02  12
    40.00000000000000       -0.76571823431504E-03    -0.35848334900776E-01
                            -0.20195733037257E-02    -0.90490371769302E-01   9
    50.00000000000000       -0.51803331370335E-07    -0.32363123308302E-05
                            -0.18467010355618E-06    -0.11257689756872E-04   5
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                            -0.14750000530695E-11    -0.10708724950248E-09   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     12
     0.00000000000000        0.13779001081891E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.66645583242071E+02  12
    10.00000000000000       -0.74686610822109E+00     0.56149182592555E+02
                             0.14311213809649E+01     0.12491097285910E+02  12
    20.00000000000000       -0.16197821717970E+01     0.52676527304523E+01
                             0.12236154617259E+01     0.36579350924093E+02  12
    30.00000000000000        0.11570433451608E+01     0.19755835962137E+02
                            -0.76413666399422E+00    -0.16206573019660E+02  12
    40.00000000000000        0.49961357482893E-02     0.21344215023437E+00
                            -0.20195733037165E-02    -0.90490371769000E-01  10
    50.00000000000000        0.62246705134428E-06     0.36987597055325E-04
                            -0.18467011432917E-06    -0.11257689824625E-04   6
    60.00000000000000        0.63170132120025E-11     0.45293045370220E-09
                            -0.14681663081536E-11    -0.10713253549893E-09   1
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     13
     0.00000000000000        0.13779001081891E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.68860111432883E+02  12
    10.00000000000000       -0.74686610822109E+00     0.56149182592555E+02
                             0.88301463920030E+00     0.51262705751836E+02  12
    20.00000000000000       -0.16197821717970E+01     0.52676527304520E+01
                            -0.95375330809154E+00     0.48114492574017E+02  12
    30.00000000000000        0.11570433451608E+01     0.19755835962137E+02
                             0.15765691207668E+01     0.19269036601940E+02  12
    40.00000000000000        0.49961357482913E-02     0.21344215023442E+00
                             0.11618696902769E-01     0.47114844065375E+00  10
    50.00000000000000        0.62246704974660E-06     0.36987597045423E-04
                             0.19899328385918E-05     0.11511900228792E-03   6
    60.00000000000000        0.63178657901119E-11     0.45291967225590E-09
                             0.25882868245067E-10     0.18219858053911E-08   1
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     14
     0.00000000000000        0.13216211113258E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.68860111432883E+02  12
    10.00000000000000       -0.12672319901993E+01     0.25052400988168E+02
                             0.88301463920030E+00     0.51262705751836E+02  12
    20.00000000000000       -0.35412798856551E+00    -0.58980863831589E+02
                            -0.95375330809154E+00     0.48114492574017E+02  12
    30.00000000000000       -0.19060929073190E+01    -0.11860248404935E+02
                             0.15765691207668E+01     0.19269036601940E+02  12
    40.00000000000000       -0.25438427067513E-01    -0.97385044716335E+00
                             0.11618696902769E-01     0.47114844065375E+00  10
    50.00000000000000       -0.60484598040720E-05    -0.34021364962561E-03
                             0.19899328388891E-05     0.11511900229424E-03   7
    60.00000000000000       -0.10123012101985E-09    -0.69923827040695E-08
                             0.25882621289474E-10     0.18219831559777E-08   2
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     15
     0.00000000000000        0.13216211113258E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.70740913313674E+02  12
    10.00000000000000       -0.12672319901993E+01     0.25052400988168E+02
                             0.88949620539890E-01     0.68698285945157E+02  11
    20.00000000000000       -0.35412798856551E+00    -0.58980863831589E+02
                            -0.13455410140246E+01    -0.23815873355062E+02  12
    30.00000000000000       -0.19060929073190E+01    -0.11860248404935E+02
                            -0.19903718267073E+01     0.37484129725056E+01  11
    40.00000000000000       -0.25438427067513E-01    -0.97385044716335E+00
